Mfg/Vendor Name,Mfg/Vendor Part Number,Detailed Item Description
Ingersoll Cutting Tool,5805304,TTBU25.4-32
Ingersoll Cutting Tool,5805671,TTBU25.4-32
Ingersoll Cutting Tool,5809778,47B-5037T8RB06     IN2005
Ingersoll Cutting Tool,5811249,TTBU25.4-32
Ingersoll Cutting Tool,5811550,TTBU25.4-32
Ingersoll Cutting Tool,5812606,TTBU25.4-32
Ingersoll Cutting Tool,5813387,TTBU25.4-32
Ingersoll Cutting Tool,5813435,TTBU25.4-32
Ingersoll Cutting Tool,5820703,TTBU25.4-32
Ingersoll Cutting Tool,5840326,TTBU25.4-32
Ingersoll Cutting Tool,5840783,TTBU25.4-32
Ingersoll Cutting Tool,5856052,TTBU25.4-32
Ingersoll Cutting Tool,5872243,TTBU25.4-32
Ingersoll Cutting Tool,5873066,TTBU25.4-32
Ingersoll Cutting Tool,5873262,TTBU25.4-32
Ingersoll Cutting Tool,5880725,TTBU25.4-32
Ingersoll Cutting Tool,6108567,TTBU25.4-32
Ingersoll Cutting Tool,6108618,TTBU25.4-32
Ingersoll Cutting Tool,6400200,TTBU25.4-32
Ingersoll Cutting Tool,7000076,TTBU25.4-32
Ingersoll Cutting Tool,7000461,TTBU25.4-32
